[,avg,195.671,min,84,max,197,avg,3.07692,min,1,max,20,
rm,avg,301.55,min,148,max,314,avg,2.84375,min,1,max,27,
link,avg,103.22,min,58,max,104,avg,2.66667,min,1,max,18,
sha512sum,avg,137,min,78,max,137,avg,2.49091,min,1,max,18,
tsort,avg,125.616,min,70,max,128,avg,2.96364,min,1,max,18,
mknod,avg,130,min,66,max,130,avg,2.82609,min,1,max,18,
wc,avg,125,min,69,max,125,avg,2.55102,min,1,max,18,
sleep,avg,107.687,min,65,max,109,avg,2.3617,min,1,max,18,
groups,avg,108,min,62,max,108,avg,2.57143,min,1,max,18,
nl,avg,611.858,min,238,max,615,avg,3.04245,min,1,max,32,
uname,avg,111,min,59,max,111,avg,2.84615,min,1,max,18,
pr,avg,252.7,min,114,max,260,avg,252.7,min,114,max,260,avg,3.07767,min,1,max,18,
runcon,avg,122,min,68,max,122,avg,2.54167,min,1,max,18,
md5sum,avg,129,min,72,max,129,avg,2.52941,min,1,max,18,
chown,avg,262.047,min,137,max,273,avg,2.93277,min,1,max,18,
od,avg,181.286,min,94,max,185,avg,181.286,min,94,max,185,avg,2.60494,min,1,max,18,
sha256sum,avg,137,min,78,max,137,avg,137,min,78,max,137,avg,2.49091,min,1,max,18,
ln,avg,211.492,min,118,max,221,avg,2.91667,min,1,max,18,
id,avg,116,min,65,max,116,avg,2.52174,min,1,max,18,
mktemp,avg,162.327,min,97,max,163,avg,2.21333,min,1,max,18,
