groups,num_sites,42,cumulative_targets,108,avg,2.57143,min,1,max,18,
nl,num_sites,212,cumulative_targets,645,avg,3.04245,min,1,max,32,
uname,num_sites,39,cumulative_targets,111,avg,2.84615,min,1,max,18,
pr,num_sites,103,cumulative_targets,314,avg,3.04854,min,1,max,18,
runcon,num_sites,48,cumulative_targets,122,avg,2.54167,min,1,max,18,
md5sum,num_sites,51,cumulative_targets,129,avg,2.52941,min,1,max,18,
chown,num_sites,119,cumulative_targets,337,avg,2.83193,min,1,max,18,
od,num_sites,81,cumulative_targets,239,avg,2.95062,min,1,max,18,
sha256sum,num_sites,55,cumulative_targets,137,avg,2.49091,min,1,max,18,
ln,num_sites,96,cumulative_targets,305,avg,3.17708,min,1,max,18,
id,num_sites,46,cumulative_targets,116,avg,2.52174,min,1,max,18,
mktemp,num_sites,75,cumulative_targets,166,avg,2.21333,min,1,max,18,
